BP-date,Title in BP,Title,IDN,Date,Page,Commentaire,Categories_test,Image,Lien KBR
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,21/12/1930,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1756039
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,28/12/1930,1,"Cartoons (bande) par MA : ""Etrennes ...""",MA-auth/art,,https://uurl.kbr.be/1756046
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,5/01/1931,1,"Cartoons (bande) par MA : ""Prévisions pour 1931""",MA-auth/art,,https://uurl.kbr.be/1756054
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,12/01/1931,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1756061
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,19/01/1931,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1756068
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,25/01/1931,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1756164
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,2/02/1931,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1756172
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,10/02/1931,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1756180
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,16/02/1931,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1756186
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,23/02/1931,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1756193
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,2/03/1931,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1756200
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,9/03/1931,1,"Cartoons (bande) par MA : ""L'union fait la force""",MA-auth/art,,https://uurl.kbr.be/1756207
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,16/03/1931,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1756214
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,23/03/1931,1,Cartoons (bande) par MA,MA-auth/art/art,,https://uurl.kbr.be/1756220
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,26/03/1931,1,"Cartoon par MA (des chiens + texte) : ""Clebstomanie...""",MA-auth/art,,https://uurl.kbr.be/1756223
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,30/03/1931,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1756227
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,13/04/1931,1,"Cartoons (bande) par MA : ""A la foire commerciale""",MA-auth/art,,https://uurl.kbr.be/1756241
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,20/04/1931,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1756248
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,26/04/1931,1,"Cartoons (bande) par MA : ""Le doigt dans l'oeuil!...""",MA-auth/art,,https://uurl.kbr.be/1756254
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,27/04/1931,1,Cartoon MA,MA-auth/art,,https://uurl.kbr.be/1756255
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,4/05/1931,1,"Cartoons (bande) par MA : ""Ne forçons point notre talent....""",MA-auth/art,,https://uurl.kbr.be/1756262
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,11/05/1931,1,"Cartoons (bande) par MA : ""Vincennes, colonie française""",MA-auth/art,,https://uurl.kbr.be/1756269
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,17/05/1931,1,"Cartoons (bande) par MA : ""Après Versailles""",MA-auth/art,,https://uurl.kbr.be/1756275
BP-date,L'Indépendance belge in BP,L'Indépendance belge,17229173,19/05/1931,1,"René CLERIANE, ""En Marge : La ""mine"" souriante"" : ""L'animateur du ""Salon des Humoristes"", aimable Marcel Antoine, me disait son vif désir de voir la presse réserver, dans ses colonnes, une petite place, à nos humoristes dont certains sont plus connus et appréciés à l'étranger que chez nous. Qu'il soit persuadé que nul plus que moi ne serait heureux de voir les journaux reproduire plus souvent des oeuvres de nos humoristes, à l'instar des journaux français - mais oui! - et aussi des journaux anglais, ou allemande, ou italiens, ou américains. Pourquoi pas, après tout? Il suffirait d'en prendre habitude ..."" ",MineSouriante,,https://uurl.kbr.be/1084220
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,24/05/1931,1,"Cartoons (bande) par MA : ""Jas... Parade d'humour""",MA-auth/art,,https://uurl.kbr.be/1756282
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,31/05/1931,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1756289
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,7/06/1931,1,"Cartoons (bande) par MA : ""Crise Minhystérielle!...""",MA-auth/art,,https://uurl.kbr.be/1756296
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,14/06/1931,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1756303
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,21/06/1931,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1756310
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,28/06/1931,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1756317
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,5/07/1931,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1756324
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,12/07/1931,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1756331
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,19/07/1931,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1756338
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,26/07/1931,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1756345
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,2/08/1931,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1756352
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,9/08/1931,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1756359
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,23/08/1931,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1756373
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,30/08/1931,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1756380
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,6/09/1931,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1756387
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,13/09/1931,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1756394
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,20/09/1931,1,"Cartoons (bande) par MA : ""Vive la liberté""",MA-auth/art,,https://uurl.kbr.be/1756401
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,28/09/1931,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1756409
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,11/10/1931,1,"Cartoons (bande) par MA : ""LAVAL en Amérique""",MA-auth/art,,https://uurl.kbr.be/1756422
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,1/11/1931,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1756445
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,4/11/1931,1,Cartoon MA ,MA-auth/art,,https://uurl.kbr.be/1756448
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,8/11/1931,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1756452
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,15/11/1931,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1756459
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,22/11/1931,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1756466
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,30/11/1931,1,Cartoon MA,MA-auth/art,,https://uurl.kbr.be/1756473
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,6/12/1931,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1756479
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,13/12/1931,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1756486
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,16/12/1931,1,"[M. le Ministre Bovesse expose à la Chambre la situation de la radiophonie en Belgique"": Bovesse contre 'député frontiste' (Herman) Vos]",,,https://uurl.kbr.be/1756489
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,20/12/1931,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1756493
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,24/12/1931,1,Cartoon MA ,MA-auth/art,,https://uurl.kbr.be/1756497
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,27/12/1931,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1756500
BP-date,L'Indépendance belge in BP,L'Indépendance belge,17229173,1/01/1932,1,"Le ministre des P.T.T. fait fermer Radio-Schaerbeek
Faustus : ""Je puis, en effet, dire au micro tout ce que je veux, car il n'y a pas de censure en Belgique""",Radio,,https://uurl.kbr.be/1084445
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,12/01/1932,1,Cartoons (bande) par MA,MA-auth/art,,https://uurl.kbr.be/1756515
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,17/01/1932,1,"Cartoons (bande) par MA : ""Levée spéciale""",MA-auth/art,,https://uurl.kbr.be/1756520
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,24/01/1932,1,Cartoons (bande) par MA => last one?,MA-auth/art,,https://uurl.kbr.be/1756527
BP-date,La Dernière Heure in BP,La Dernière Heure,17171827,4/05/1933,1,"""la mine souriante"" - (3 reproductions dont un de MA : Le rêve de ""Moum"", le chien du bourgmestre) - (photos prises à l'expostion des humoristes)",MineSouriante,,https://uurl.kbr.be/1263343 
BP-date,La Dernière Heure in BP,La Dernière Heure,17171827,10/06/1933,1,"Le concours de ""L'esprit en Belgique"" : les gagnants de la catégorie ""dessinateurs"" ce que nous disent les lauréats : MA 2e Prix (photos des trois lauréats); Lenoir 1st !",MA-subj,,https://uurl.kbr.be/1263380
BP-date,La Dernière Heure in BP,La Dernière Heure,17171827,14/06/1933,1,"L'Esprit en Belgique devient une nouvelle rubrique dans La DH : MM. A. Lenoir, Marcel Antoine, Hubert Dorchy et Jean Ancia, lauréats de notre concours, ont bien voulu inaugurer cette nouvelle attraction qui intéressera vivement les lectrices et les lecteurs de LDH, ainsi que tous ceux qui veulent encourager l'art de la caricature et de l'humour dans notre pays (voyez en dernière page)",MA-subj,,https://uurl.kbr.be/1263384 
BP-date,Le Radio in BP,Le Radio,12126493,20/05/1934,1,"PHOTO portrait (E. Delhaes) : ""Le speaker humoristique Marcel Antoine""",MA-subj,,https://uurl.kbr.be/2044814
BP-date,La Dernière Heure in BP,La Dernière Heure,17171827,29/09/1934,1,"A ""l'éducation et l'Effort"" (hier soir) : inaugurale de la saison des séances littéraires et musicales : (...) MA, enfin, qui fit, en quarante-cinq minutes, une étincellante rétrospective des événements de ces derniers mois, le tout en vers farcis de calembours énormes et par conséquent fort divertissants.""",MA-subj,,https://uurl.kbr.be/1263831
BP-date,Le Radio in BP,Le Radio,12126493,23/12/1934,1,PHOTO used in 1938 for announcement of Slache in Hawaï !,Other,,https://uurl.kbr.be/2044876
BP-date,La Dernière Heure in BP,La Dernière Heure,17171827,28/03/1935,1,"dessin inédit ""La Paix"" (MA) : Goebbels, Hitler et Goering (dessin inédit) - compare with MA's work in L'Action wallone",MA-auth/art,,https://uurl.kbr.be/1264246 
BP-date,La Dernière Heure in BP,La Dernière Heure,17171827,24/11/1936,1,MA cartoon anti Degrelle (cover),MA-auth/art,,https://uurl.kbr.be/1264970
BP-date,Le Radio in BP,Le Radio,12126493,3/01/1937,1,"A radio-Schaerbeek-Bruxelles ... Marcel Antoine fait sa rentrée : Le sympathique speaker de radio-Schaerbeek-Bruxelles a fait sa rentrée le 1er janvier, après un congé de trois semaines, pris pour des raisons de santé. Nous retrouverons avec grand plaisir les nombreux sketches de ""Slache"" et ""Olive"" qui refigureront presque tous les jours au programme, vers 13h30 et qui faisaient la joie de nombreux auditeurs.
=> NOTE: ""Slache magazine""
=> Note: placé en bas sous une caricature de Ex de Professeur Plum (article sur Radio-Jeunesse)",Radio+Slache,,https://uurl.kbr.be/2045126
BP-date,La Dernière Heure in BP,La Dernière Heure,17171827,5/07/1937,1,"Gaston CHANDRY, ""Le banquet des humoristes"" (+ PHOTO : Voici, entourant le buste du héros de la fête, M. Marcel Antoine lui-même (au centre) et quelques-uns des fondateurs de la ""Mine Souriante"" - V.)
Le buste est une création de Van Cutsem
Quote Marcel Antoine ('noté au vol') : ""Ah! Si j'étais Léon Degrelle / Je mettrais les poigns aux aisselles / Et au milieu de la vaiselle / D'une voix de violoncelle / Ou grince parfois la crécelle / Je vous remplirai la cervelle / de parolles conventionelles / De phrases ... n'importe lesquelles / Mais non : j'aurais peur que ce zèle / me conduise en correctionnelle !""
M. Charles Bernard parla au nom de la critique, mais sa voix parvint difficilement le tumulte incompressible; M. Louis Piérard réussit à se faire entendre pendant cent quarante-sept secondes, ce qui constituait une manière de record.",MineSouriante,,https://uurl.kbr.be/1265188
BP-date,Le Radio in BP,Le Radio,12126493,1/08/1937,1,"A Radio-Schaerbeek-Bruxelles ....Histoires de chapeaux - ""Ce que MA vous racontera, le jeudi 5 août à 16 heures à ce sujet, sera plaisant, drôle, amusant, plein d'esprit, et vous ne perdrez pas cette occasion de vous distraire un brin.""",Radio,,https://uurl.kbr.be/2045364
BP-date,Gazette de Charleroi in BP,Gazette de Charleroi,17151709,20/05/1939,1,"GIL BLAS, ""Un drôle d'""Ecureuil"" : (sur la parution d'une nouvelle feuilleton Lode en Karel in Robbedoes) : "".... Et notre correrspondant, en jetant un coup d'oeuil sur cet hebdomadaire, a vu qu'il annonçait un nouveau feuilleton ""dont le fond semble pernicieux et belliqueux pour la santé nationale. Le fait est que le feuilleton paraît pour le moins déplacé dans un journal amusant à l'usage des petits enfants, si nous en jugeons par l'annonce qu'on en fait (+ transcriptie) : ""LODE EN KAREL ""(Flandre etc.) ... ""Quand donc cette presse catholique va-t-elle cesser de détruire tout sentiment belge dans l'âme de nos petits",Other,,https://uurl.kbr.be/1464794/p1
BP-date,Le Soir in BP,Le Soir,15438406,14/04/1942,1,"Pour nos prisonniers : ""Plusieurs vedettes et des artistes ex-prisonniers prêteront leurs concours à cette soirée. Citons notamment: Rittche et Simone Max, de ""Mon Village"": Mills et Simon, et Alvarez de l'""Ancienne Belgique""; Léo Campion, le poète-chansonnier-caricaturiste; Marcel Antoine, notre Slache Nationale de Radio-Schaerbeek; Christian le Coq du Poulailler; André Mille, le benjamin des chansonniers, etc., etc., sans oublier le symphatique caricaturiste ""Bob"" qui croquera toutes les vedettes.""",MA-Slache,,https://uurl.kbr.be/1603013
BP-date,La Dernière Heure in BP,La Dernière Heure,17171827,2/12/1944,1,"Les humoristes exposent - au profit des prisonniers de guerre, les humoristes du groupe MA exposent dans la rue Neuve 82. ... ""Presque tous les artistes de la mine s'en prennent avec un esprit agressif, aux fantômes de nos protecteurs et de leurs amis! Si la Gestapo passait par là ...""",MineSouriante,,https://uurl.kbr.be/1266301
BP-date,Le Soir in BP,Le Soir,15438406,11/09/1945,1,"Le Bal de la Victoire a remporté un éclatant succès /.../ A l'intérieur ça se frayait difficilement un passage. Deux speakers, un anglais, le capitaine Richard Evans, et un belge, notre célèbre ""Slache, Marcel Antoine, se relayaient un micro. ...",MA-Slache,,https://uurl.kbr.be/1604047
BP-date,La Dernière Heure in BP,La Dernière Heure,17171827,11/09/1945,1,"Tout Bruxelles au Bal de la Victoire : (...) Le souriant speaker Marcel Antoine et son sympathique confrère anglais Captain Richard Evans, de la B.B.C.",Radio,,https://uurl.kbr.be/1266547
BP-date,Le Soir in BP,Le Soir,15438406,9/12/1949,1,"PETITE GAZETTE - GALA DES ARTISTES - avec Mme Alice Rambert, Marcel Antoine et les charmantes Ambrosinettes, ce vendredi, à 15h.30, au thé du ""Bon Marché"" au bénéfice de la Caisse de Retraite de l'U.A.""",MA-subj,,https://uurl.kbr.be/1605517
BP-date,Le Soir in BP,Le Soir,15438406,1/10/1956,1,"La ""Mine souriante"" (Toison d'Or) : remise de l'Oscar annuel à ... Marcel Antoine",MineSouriante,,https://uurl.kbr.be/1608073
BP-date,Le Soir in BP,Le Soir,15438406,1/06/1926,2,"A Koekelberg Manifestation de sympathie en l'honneur de M. H. Vanhuffel, bourgmestre. Avec Camille Huysmans. L'orateur a offert son buste en bronze (...) tandis qu'une fillette récitait des vers de Marcel Antoine, une autre fillette fleurissait le buste du bourgmestre.",MA-subj,,https://uurl.kbr.be/1597512/p2
BP-date,La Nation belge in BP,La Nation belge,17172248,13/11/1926,2,"chanteur au cercle l ""Iris""",MA-subj,,https://uurl.kbr.be/1520751/p2
BP-date,La Dernière Heure in BP,La Dernière Heure,17171827,19/12/1928,2,"Pour les inondés - Une grande fancy-fair à l'Ecole professionelle et ménagère de la commune de Schaerbeek le 22, 23 et 24 décembre 1928 de 3 à 6 heures au bénéfice exclusif des victimes des inondations de la région de Termonde : MM. Marcel Lefèvre, Marcel Antoine et le cercle dramatique ""Les Indépendants"" prèteront leur concours à cette manifestation de bienfaisance.",MA-subj,,https://uurl.kbr.be/1261850/p2
BP-date,La Dernière Heure in BP,La Dernière Heure,17171827,22/12/1928,2,Soirées littéraires et musicales : MA déclamation,MA-subj,,https://uurl.kbr.be/1261853/p2
BP-date,La Dernière Heure in BP,La Dernière Heure,17171827,18/02/1929,2,"Au groupement post-scolaire de Schaerbeek : soirée dramatique - ""Les aigles"" comédie en trois actes de Josse Gits, écrite et dédiée à la mémoire de Gabriel Modave (pièce sur l'aviation contemporaine) - MA joue un lieutenant aviateur, plain d'autorité",MA-subj,,https://uurl.kbr.be/1261910/p2
BP-date,La Dernière Heure in BP,La Dernière Heure,17171827,14/05/1929,2,"Une soirée dramatique à Schaebeek - en intermède, MA, en bon humoriste, interpréta quelques-unes de ses plus récentes compositions",MA-subj,,https://uurl.kbr.be/1261995/p2
BP-date,La Dernière Heure in BP,La Dernière Heure,17171827,19/05/1930,2,"""La Mine Souriante"" - ""Bruxelles a maintenant comme Paris son Salon des Humoristes""",MineSouriante,,https://uurl.kbr.be/1262364/p2
BP-date,L'Indépendance belge in BP,L'Indépendance belge,17229173,20/05/1930,2,"Marcel ROVAIN, ""Le premier salon des humoristes belges"" : ""MA occupe la cimaise avec ses caricatures, qui se remarquent par un dynamisme hilarant et une série de personnages crées pour le dessin animé."" ",MineSouriante,,https://uurl.kbr.be/1083862/p2
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,21/05/1930,2,"""Le salon des humoristes"" : Galerie Larribe / ""Ce début est un succès"" / un vingtaine de participants / ""Parmi les premiers, citons tout d'abord M. Arthur Navez, dont on revoit ici la truculente parodie de Franz Hals, Les Syndices de la Zwanze, toile qui figura en 1914 à l'exposition cornique interrompue par la guerre"" / Roméo Dumoulin, Lempereur, Jeanne Hovine, H. Lemaire, ""tandis que M. Fernand François, M. Marcel Antoine, M. Jean Ancis, M. J. M. Canneel, etc. rivalisent de cocasserie. Il y a des sculptures aussi, dont le Baiser cubiste, par M. A. Vander Elst, ne manquerait pas d'avoir dans un salon ultra-moderniste, tout le succès qu'il mérite.""",MineSouriante,,https://uurl.kbr.be/1757551/p2
BP-date,La Dernière Heure in BP,La Dernière Heure,17171827,28/10/1930,2,"Une soirée à ""L'étincelle"" - une représentation de la très amusante pièce de Fuston Bernard ""Les Jumeaux de Brighton"" - ""... et les parfaits comiques MA et Max Orlet""",MA-subj,,https://uurl.kbr.be/1262526/p2
BP-date,Le Soir in BP,Le Soir,15438406,15/05/1931,2,"Les expositions d'art/ la ""Mine"" Souriante / Deuxième Salon des humoristes belges (R.D.)",MineSouriante,,https://uurl.kbr.be/1599036/p2
BP-date,La Nation belge in BP,La Nation belge,17172248,23/05/1931,2,"Le cercle théatral ""L'Etincelle"" MA 'humoriste' parmis d'autres",MA-subj,,https://uurl.kbr.be/1522382/p2
BP-date,La Nation belge in BP,La Nation belge,17172248,11/11/1931,2,"Au programme d'une soirée  de bienfaisance au profit de la société royale ""La Charité"" (L'academie du chat noire) ",MA-subj,,https://uurl.kbr.be/1522554/p2
BP-date,Le Soir in BP,Le Soir,15438406,18/01/1932,2,2000 sans-filistes ont manifesté à Bruxelles ... Faustus est porté en triomphe,Radio,,https://uurl.kbr.be/1599291/p2
BP-date,La Nation belge in BP,La Nation belge,17172248,21/05/1932,2,"""Radio-Schaerbeek reprendra ses émissions lundi"" - MA ""remplira les fonctions de speaker en remplacement de Faustus""",Radio,,https://uurl.kbr.be/1522745/p2
BP-date,La Dernière Heure in BP,La Dernière Heure,17171827,7/12/1933,2,"""Les humoristes, gens sérieux"" : sujet de la conférence que donnera mardi 12 décembre à 20h à l'Athénée de Schaerbeek, avenue Ernest Renan, M. Marcel Antoine. Entrée libre""",MA-subj,,https://uurl.kbr.be/1263537/p2
BP-date,La Dernière Heure in BP,La Dernière Heure,17171827,16/04/1934,2,"La reine de tous les sports : (Mlle Yvonne Labory - de Bruxelles-Sportif - vient d'être élu en grand arroi Reine de tous les Sports) : Quand MA apparut sur scène avec Mlle Labory et ses dignes suivantes - Mlle Nelly Van de Vliet - la toute charmante ""Miss Cycle"" - et Mlle Andrée Dumoulin, un tonnerre d""applaudissements et d'interminables vivats les accueillirent""",MA-subj,,https://uurl.kbr.be/1263667/p2
BP-date,La Dernière Heure in BP,La Dernière Heure,17171827,4/06/1934,2,"Le Salon des Humoristes : ""MA présente entre autres bonnes choses, un tableau ""parlant"" des cent-cinquante derniers films à la mode; très amusant""",MineSouriante,,https://uurl.kbr.be/1263716/p2
BP-date,Le Soir in BP,Le Soir,15438406,9/06/1934,2,"Les expositions d'art / La Mine Souriante : article (i.a. Ex, Lemaire, Dratz avec Mister Van ; Guy Depière mentionné) + Photo ",MineSouriante,,https://uurl.kbr.be/1600186/p2
BP-date,Le Radio in BP,Le Radio,12126493,9/09/1934,2,"(Radio qui rit) René CHASSART, ""Au hasard du VIe salon / Portrait de Speaker"": ""La photogénie de Marcel Antoine ne redout pas la crudité du grand jour"" ",MA-subj,,https://uurl.kbr.be/2044846/p2
BP-date,La Nation belge in BP,La Nation belge,17172248,11/03/1935,2,"Pour les enfants des chômeurs du Borinage (Elisabeth + Max) matinée de gala au Théâtre des Galeries le 06/04. La section dramatique de la Protection y interprètera la spirituelle revue Ouvrons l'Heysel, due à la plume alerte de MA""",MA-subj,,https://uurl.kbr.be/1523761/p2
BP-date,La Dernière Heure in BP,La Dernière Heure,17171827,13/05/1935,2,"Le salon des humoristes: 6e édition : ""MA, le prince des humoristes aligne une participation très importante: il a ajouté à son métier d'hier quelques compositions stylisées fort curieuses; ""Un maïeur qui a du chien"" (une quadruple transition amusante entre la tête de M. Max et celle de son fox-terrier), plaira fort à notre bourgmestre quand il la verra.""",MineSouriante,,https://uurl.kbr.be/1264412/p2
BP-date,La Nation belge in BP,La Nation belge,17172248,27/05/1935,2,"M. Max a inauguré le Royaume des Enfants (la nursery modèle aménagée à l'Exposition de Bruxelles : ""MA qui dessina avec humour la décoration murale de la nursery""",MA-subj,,https://uurl.kbr.be/1523838/p2
